name,cals,fat,carbs,protein,nutr_code
"Beans, mung, mature seeds, sprouted, canned, drained solids",0.12,0.005399999999999999,0.08560000000000001,0.056,11626
"Beans, navy, mature seeds, canned",1.13,0.0387,0.818,0.3012,16039
"Beans, navy, mature seeds, cooked, boiled, with salt",1.4,0.0558,1.042,0.3292,16338
"Beans, navy, mature seeds, cooked, boiled, without salt",1.4,0.0558,1.042,0.3292,16038
"Beans, navy, mature seeds, raw",3.37,0.135,2.43,0.8931999999999999,16037
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",0.78,0.0729,0.6004,0.2828,11719
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",0.78,0.0729,0.6004,0.2828,11047
"Beans, navy, mature seeds, sprouted, raw",0.67,0.063,0.522,0.246,11046
"Beans, pink, mature seeds, cooked, boiled, with salt",1.49,0.0441,1.1164,0.3624,16341
"Beans, pink, mature seeds, cooked, boiled, without salt",1.49,0.0441,1.1164,0.3624,16041
"Beans, pink, mature seeds, raw",3.43,0.1017,2.5676,0.8384,16040
"Beans, pinto, canned, drained solids",1.14,0.08100000000000003,0.8088,0.2796,16146
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",1.62,0.0432,1.2348,0.3724,11720
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",1.62,0.0432,1.2348,0.3724,11049
"Beans, pinto, immature seeds, frozen, unprepared",1.7,0.045,1.3,0.392,11048
"Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water",1.17,0.0873,0.8308,0.2816,16345
"Beans, pinto, mature seeds, canned, solids and liquids",0.82,0.050400000000000014,0.6072,0.184,16044
"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",0.82,0.050400000000000014,0.6072,0.184,16347
"Beans, pinto, mature seeds, cooked, boiled, with salt",1.43,0.0585,1.0488,0.3604,16343
"Beans, pinto, mature seeds, cooked, boiled, without salt",1.43,0.0585,1.0488,0.3604,16043
